Saved configuration to: runs/scoutv2_brain_neuromod_critic_code_seed4_20260706-230040/config.txt
Training Brain on cuda for 4 RL episodes
  Inner: 800000 timesteps, regime switch every 100000 steps
  Parallel Envs: 4
  Brain vectorization: async
  Async worker CPU threads: 1
  Decision interval: 10 inner updates

--- Starting Meta-RL PPO Training (Target: 4) ---
update 10/781 | step=10240 | SPS=742
update 10/781 | step=10240 | SPS=737
update 10/781 | step=10240 | SPS=728
update 10/781 | step=10240 | SPS=716
update 20/781 | step=20480 | SPS=713
update 20/781 | step=20480 | SPS=709
update 20/781 | step=20480 | SPS=703
update 20/781 | step=20480 | SPS=700
update 30/781 | step=30720 | SPS=705
update 30/781 | step=30720 | SPS=705
update 30/781 | step=30720 | SPS=702
update 30/781 | step=30720 | SPS=697
update 40/781 | step=40960 | SPS=704
update 40/781 | step=40960 | SPS=702
update 40/781 | step=40960 | SPS=701
update 40/781 | step=40960 | SPS=696
update 50/781 | step=51200 | SPS=701
update 50/781 | step=51200 | SPS=698
update 50/781 | step=51200 | SPS=697
update 50/781 | step=51200 | SPS=696
update 60/781 | step=61440 | SPS=699
update 60/781 | step=61440 | SPS=698
update 60/781 | step=61440 | SPS=698
update 60/781 | step=61440 | SPS=695
update 70/781 | step=71680 | SPS=696
update 70/781 | step=71680 | SPS=695
update 70/781 | step=71680 | SPS=695
update 70/781 | step=71680 | SPS=693
update 80/781 | step=81920 | SPS=697
update 80/781 | step=81920 | SPS=696
update 80/781 | step=81920 | SPS=695
update 80/781 | step=81920 | SPS=693
update 90/781 | step=92160 | SPS=696
update 90/781 | step=92160 | SPS=695
update 90/781 | step=92160 | SPS=693
update 90/781 | step=92160 | SPS=692
[100008] Regime switch detected! 0 -> 1. Snapshotting anchor model.
[100008] Regime switch detected! 0 -> 1. Snapshotting anchor model.
[100008] Regime switch detected! 0 -> 1. Snapshotting anchor model.
[100008] Regime switch detected! 0 -> 1. Snapshotting anchor model.
update 100/781 | step=102400 | SPS=695
update 100/781 | step=102400 | SPS=694
update 100/781 | step=102400 | SPS=693
update 100/781 | step=102400 | SPS=692
update 110/781 | step=112640 | SPS=695
update 110/781 | step=112640 | SPS=694
update 110/781 | step=112640 | SPS=694
update 110/781 | step=112640 | SPS=693
update 120/781 | step=122880 | SPS=695
update 120/781 | step=122880 | SPS=694
update 120/781 | step=122880 | SPS=693
update 120/781 | step=122880 | SPS=693
update 130/781 | step=133120 | SPS=694
update 130/781 | step=133120 | SPS=694
update 130/781 | step=133120 | SPS=693
update 130/781 | step=133120 | SPS=692
update 140/781 | step=143360 | SPS=694
update 140/781 | step=143360 | SPS=693
update 140/781 | step=143360 | SPS=693
update 140/781 | step=143360 | SPS=692
update 150/781 | step=153600 | SPS=695
update 150/781 | step=153600 | SPS=694
update 150/781 | step=153600 | SPS=694
update 150/781 | step=153600 | SPS=693
update 160/781 | step=163840 | SPS=694
update 160/781 | step=163840 | SPS=694
update 160/781 | step=163840 | SPS=694
update 160/781 | step=163840 | SPS=693
update 170/781 | step=174080 | SPS=694
update 170/781 | step=174080 | SPS=694
update 170/781 | step=174080 | SPS=694
update 170/781 | step=174080 | SPS=692
update 180/781 | step=184320 | SPS=693
update 180/781 | step=184320 | SPS=693
update 180/781 | step=184320 | SPS=693
update 180/781 | step=184320 | SPS=693
update 190/781 | step=194560 | SPS=694
update 190/781 | step=194560 | SPS=694
update 190/781 | step=194560 | SPS=693
update 190/781 | step=194560 | SPS=692
[200008] Regime switch detected! 1 -> 0. Snapshotting anchor model.
[200008] Regime switch detected! 1 -> 0. Snapshotting anchor model.
[200008] Regime switch detected! 1 -> 0. Snapshotting anchor model.
[200008] Regime switch detected! 1 -> 0. Snapshotting anchor model.
update 200/781 | step=204800 | SPS=694
update 200/781 | step=204800 | SPS=693
update 200/781 | step=204800 | SPS=693
update 200/781 | step=204800 | SPS=692
update 210/781 | step=215040 | SPS=693
update 210/781 | step=215040 | SPS=693
update 210/781 | step=215040 | SPS=692
update 210/781 | step=215040 | SPS=692
update 220/781 | step=225280 | SPS=693
update 220/781 | step=225280 | SPS=693
update 220/781 | step=225280 | SPS=692
update 220/781 | step=225280 | SPS=692
update 230/781 | step=235520 | SPS=693
update 230/781 | step=235520 | SPS=693
update 230/781 | step=235520 | SPS=693
update 230/781 | step=235520 | SPS=692
update 240/781 | step=245760 | SPS=693
update 240/781 | step=245760 | SPS=693
update 240/781 | step=245760 | SPS=692
update 240/781 | step=245760 | SPS=692
update 250/781 | step=256000 | SPS=693
update 250/781 | step=256000 | SPS=693
update 250/781 | step=256000 | SPS=692
update 250/781 | step=256000 | SPS=692
update 260/781 | step=266240 | SPS=693
update 260/781 | step=266240 | SPS=693
update 260/781 | step=266240 | SPS=693
update 260/781 | step=266240 | SPS=692
update 270/781 | step=276480 | SPS=693
update 270/781 | step=276480 | SPS=693
update 270/781 | step=276480 | SPS=692
update 270/781 | step=276480 | SPS=692
update 280/781 | step=286720 | SPS=693
update 280/781 | step=286720 | SPS=693
update 280/781 | step=286720 | SPS=693
update 280/781 | step=286720 | SPS=692
update 290/781 | step=296960 | SPS=693
update 290/781 | step=296960 | SPS=693
update 290/781 | step=296960 | SPS=693
update 290/781 | step=296960 | SPS=693
[300008] Regime switch detected! 0 -> 1. Snapshotting anchor model.
[300008] Regime switch detected! 0 -> 1. Snapshotting anchor model.
[300008] Regime switch detected! 0 -> 1. Snapshotting anchor model.
[300008] Regime switch detected! 0 -> 1. Snapshotting anchor model.
update 300/781 | step=307200 | SPS=693
update 300/781 | step=307200 | SPS=693
update 300/781 | step=307200 | SPS=693
update 300/781 | step=307200 | SPS=693
update 310/781 | step=317440 | SPS=693
update 310/781 | step=317440 | SPS=693
update 310/781 | step=317440 | SPS=693
update 310/781 | step=317440 | SPS=692
update 320/781 | step=327680 | SPS=692
update 320/781 | step=327680 | SPS=692
update 320/781 | step=327680 | SPS=692
update 320/781 | step=327680 | SPS=692
update 330/781 | step=337920 | SPS=693
update 330/781 | step=337920 | SPS=692
update 330/781 | step=337920 | SPS=692
update 330/781 | step=337920 | SPS=692
update 340/781 | step=348160 | SPS=692
update 340/781 | step=348160 | SPS=692
update 340/781 | step=348160 | SPS=692
update 340/781 | step=348160 | SPS=692
update 350/781 | step=358400 | SPS=692
update 350/781 | step=358400 | SPS=692
update 350/781 | step=358400 | SPS=692
update 350/781 | step=358400 | SPS=691
update 360/781 | step=368640 | SPS=692
update 360/781 | step=368640 | SPS=692
update 360/781 | step=368640 | SPS=691
update 360/781 | step=368640 | SPS=691
update 370/781 | step=378880 | SPS=692
update 370/781 | step=378880 | SPS=692
update 370/781 | step=378880 | SPS=692
update 370/781 | step=378880 | SPS=691
update 380/781 | step=389120 | SPS=692
update 380/781 | step=389120 | SPS=692
update 380/781 | step=389120 | SPS=691
update 380/781 | step=389120 | SPS=691
update 390/781 | step=399360 | SPS=692
update 390/781 | step=399360 | SPS=691
update 390/781 | step=399360 | SPS=691
update 390/781 | step=399360 | SPS=691
[400008] Regime switch detected! 1 -> 0. Snapshotting anchor model.
[400008] Regime switch detected! 1 -> 0. Snapshotting anchor model.
[400008] Regime switch detected! 1 -> 0. Snapshotting anchor model.
[400008] Regime switch detected! 1 -> 0. Snapshotting anchor model.
update 400/781 | step=409600 | SPS=692
update 400/781 | step=409600 | SPS=691
update 400/781 | step=409600 | SPS=691
update 400/781 | step=409600 | SPS=691
update 410/781 | step=419840 | SPS=692
update 410/781 | step=419840 | SPS=692
update 410/781 | step=419840 | SPS=691
update 410/781 | step=419840 | SPS=691
update 420/781 | step=430080 | SPS=692
update 420/781 | step=430080 | SPS=692
update 420/781 | step=430080 | SPS=691
update 420/781 | step=430080 | SPS=691
update 430/781 | step=440320 | SPS=692
update 430/781 | step=440320 | SPS=691
update 430/781 | step=440320 | SPS=691
update 430/781 | step=440320 | SPS=691
update 440/781 | step=450560 | SPS=691
update 440/781 | step=450560 | SPS=691
update 440/781 | step=450560 | SPS=691
update 440/781 | step=450560 | SPS=691
update 450/781 | step=460800 | SPS=691
update 450/781 | step=460800 | SPS=691
update 450/781 | step=460800 | SPS=691
update 450/781 | step=460800 | SPS=691
update 460/781 | step=471040 | SPS=691
update 460/781 | step=471040 | SPS=691
update 460/781 | step=471040 | SPS=691
update 460/781 | step=471040 | SPS=691
update 470/781 | step=481280 | SPS=691
update 470/781 | step=481280 | SPS=691
update 470/781 | step=481280 | SPS=691
update 470/781 | step=481280 | SPS=691
update 480/781 | step=491520 | SPS=691
update 480/781 | step=491520 | SPS=691
update 480/781 | step=491520 | SPS=691
update 480/781 | step=491520 | SPS=691
[500008] Regime switch detected! 0 -> 1. Snapshotting anchor model.
[500008] Regime switch detected! 0 -> 1. Snapshotting anchor model.
[500008] Regime switch detected! 0 -> 1. Snapshotting anchor model.
[500008] Regime switch detected! 0 -> 1. Snapshotting anchor model.
update 490/781 | step=501760 | SPS=691
update 490/781 | step=501760 | SPS=691
update 490/781 | step=501760 | SPS=691
update 490/781 | step=501760 | SPS=691
update 500/781 | step=512000 | SPS=691
update 500/781 | step=512000 | SPS=691
update 500/781 | step=512000 | SPS=691
update 500/781 | step=512000 | SPS=691
update 510/781 | step=522240 | SPS=691
